occupancy,consumption_kwh,orientation,size_wdc,battery_kwh,pv_kwh,pv_over_cons,direct_kwh,exported_kwh,charged_kwh,discharged_kwh,self_consumption_fraction,effective_savings_fraction,savings_usd,savings_usd_if_100pct
wfh,7000,t90_w,1200,2,689.0,0.098,687.5,0.0,1.5,1.3,1.0000,0.9998,241,241
wfh,7000,t90_w,1600,0,918.7,0.131,901.2,17.5,0.0,0.0,0.9810,0.9810,315,322
wfh,7000,t90_w,1600,1,918.7,0.131,901.2,0.2,17.3,15.6,0.9998,0.9979,321,322
wfh,7000,t90_w,1600,2,918.7,0.131,901.2,0.0,17.5,15.7,1.0000,0.9981,321,322
away,1200,t90_s,400,0,336.5,0.280,250.2,86.3,0.0,0.0,0.7434,0.7434,88,118
away,1200,t90_s,400,1,336.5,0.280,250.2,2.6,83.7,75.4,0.9922,0.9674,114,118
away,1200,t90_s,400,2,336.5,0.280,250.2,0.0,86.3,77.7,1.0000,0.9743,115,118
away,1200,t90_s,800,0,673.0,0.561,328.5,344.5,0.0,0.0,0.4881,0.4881,115,236
away,1200,t90_s,800,1,673.0,0.561,328.5,136.5,208.1,187.2,0.7972,0.7663,181,236
away,1200,t90_s,800,2,673.0,0.561,328.5,40.4,304.2,273.6,0.9400,0.8947,211,236
away,1200,t90_s,1200,0,1009.5,0.841,366.7,642.8,0.0,0.0,0.3633,0.3633,128,353
away,1200,t90_s,1200,1,1009.5,0.841,366.7,361.3,281.5,253.4,0.6421,0.6143,217,353
away,1200,t90_s,1200,2,1009.5,0.841,366.7,204.2,438.6,394.6,0.7977,0.7542,266,353
away,1200,t90_s,1600,0,1346.0,1.122,392.5,953.5,0.0,0.0,0.2916,0.2916,137,471
away,1200,t90_s,1600,1,1346.0,1.122,392.5,633.3,320.2,288.2,0.5295,0.5057,238,471
away,1200,t90_s,1600,2,1346.0,1.122,392.5,422.4,531.1,477.9,0.6862,0.6467,305,471
away,1200,t35_s,400,0,518.1,0.432,331.5,186.6,0.0,0.0,0.6398,0.6398,116,181
away,1200,t35_s,400,1,518.1,0.432,331.5,5.2,181.4,163.2,0.9899,0.9549,173,181
away,1200,t35_s,400,2,518.1,0.432,331.5,0.0,186.6,168.0,1.0000,0.9640,175,181
away,1200,t35_s,800,0,1036.2,0.864,396.9,639.3,0.0,0.0,0.3830,0.3830,139,363
away,1200,t35_s,800,1,1036.2,0.864,396.9,334.9,304.5,274.0,0.6768,0.6474,235,363
away,1200,t35_s,800,2,1036.2,0.864,396.9,126.1,513.2,461.8,0.8783,0.8287,301,363
away,1200,t35_s,1200,0,1554.3,1.295,428.1,1126.2,0.0,0.0,0.2754,0.2754,150,544
away,1200,t35_s,1200,1,1554.3,1.295,428.1,791.8,334.4,300.9,0.4905,0.4690,255,544
away,1200,t35_s,1200,2,1554.3,1.295,428.1,533.7,592.6,533.2,0.6567,0.6185,336,544
away,1200,t35_s,1600,0,2072.4,1.727,447.5,1625.0,0.0,0.0,0.2159,0.2159,157,725
away,1200,t35_s,1600,1,2072.4,1.727,447.5,1273.0,352.0,316.8,0.3858,0.3688,267,725
away,1200,t35_s,1600,2,2072.4,1.727,447.5,996.0,629.0,566.0,0.5194,0.4890,355,725
away,1200,t60_s,400,0,466.5,0.389,305.7,160.8,0.0,0.0,0.6554,0.6554,107,163
away,1200,t60_s,400,1,466.5,0.389,305.7,6.3,154.5,139.0,0.9865,0.9534,156,163
away,1200,t60_s,400,2,466.5,0.389,305.7,0.0,160.8,144.7,1.0000,0.9655,158,163
away,1200,t60_s,800,0,933.0,0.777,371.5,561.5,0.0,0.0,0.3982,0.3982,130,327
away,1200,t60_s,800,1,933.0,0.777,371.5,268.4,293.1,263.7,0.7123,0.6809,222,327
away,1200,t60_s,800,2,933.0,0.777,371.5,91.3,470.2,423.1,0.9021,0.8516,278,327
away,1200,t60_s,1200,0,1399.5,1.166,402.8,996.7,0.0,0.0,0.2878,0.2878,141,490
away,1200,t60_s,1200,1,1399.5,1.166,402.8,671.7,324.9,292.4,0.5200,0.4968,243,490
away,1200,t60_s,1200,2,1399.5,1.166,402.8,418.7,578.0,520.1,0.7008,0.6595,323,490
away,1200,t60_s,1600,0,1866.0,1.555,422.0,1443.9,0.0,0.0,0.2262,0.2262,148,653
away,1200,t60_s,1600,1,1866.0,1.555,422.0,1101.8,342.1,307.9,0.4095,0.3912,255,653
away,1200,t60_s,1600,2,1866.0,1.555,422.0,827.0,616.9,555.1,0.5568,0.5237,342,653
away,1200,t90_sw,400,0,313.0,0.261,238.8,74.1,0.0,0.0,0.7631,0.7631,84,110
away,1200,t90_sw,400,1,313.0,0.261,238.8,0.2,73.9,66.5,0.9992,0.9756,107,110
away,1200,t90_sw,400,2,313.0,0.261,238.8,0.0,74.1,66.7,1.0000,0.9763,107,110
away,1200,t90_sw,800,0,625.9,0.522,321.4,304.5,0.0,0.0,0.5135,0.5135,113,219
away,1200,t90_sw,800,1,625.9,0.522,321.4,79.0,225.5,202.9,0.8738,0.8378,184,219
away,1200,t90_sw,800,2,625.9,0.522,321.4,7.9,296.5,266.9,0.9873,0.9399,206,219
away,1200,t90_sw,1200,0,938.9,0.782,370.1,568.7,0.0,0.0,0.3943,0.3943,130,329
away,1200,t90_sw,1200,1,938.9,0.782,370.1,277.6,291.1,262.0,0.7043,0.6733,221,329
away,1200,t90_sw,1200,2,938.9,0.782,370.1,106.4,462.3,416.0,0.8867,0.8373,275,329
away,1200,t90_sw,1600,0,1251.8,1.043,403.1,848.7,0.0,0.0,0.3220,0.3220,141,438
away,1200,t90_sw,1600,1,1251.8,1.043,403.1,527.7,321.0,288.9,0.5785,0.5528,242,438
away,1200,t90_sw,1600,2,1251.8,1.043,403.1,303.6,545.0,490.4,0.7574,0.7138,313,438
away,1200,t90_e,400,0,240.9,0.201,195.4,45.6,0.0,0.0,0.8109,0.8109,68,84
away,1200,t90_e,400,1,240.9,0.201,195.4,0.0,45.6,41.0,1.0000,0.9811,83,84
away,1200,t90_e,400,2,240.9,0.201,195.4,0.0,45.6,41.0,1.0000,0.9811,83,84
away,1200,t90_e,800,0,481.8,0.402,270.7,211.2,0.0,0.0,0.5617,0.5617,95,169
away,1200,t90_e,800,1,481.8,0.402,270.7,15.3,195.9,176.3,0.9682,0.9276,156,169
away,1200,t90_e,800,2,481.8,0.402,270.7,0.0,211.1,190.0,0.9999,0.9561,161,169
away,1200,t90_e,1200,0,722.8,0.602,324.3,398.4,0.0,0.0,0.4487,0.4487,114,253
away,1200,t90_e,1200,1,722.8,0.602,324.3,138.9,259.5,233.6,0.8078,0.7719,195,253
away,1200,t90_e,1200,2,722.8,0.602,324.3,13.8,384.6,346.2,0.9809,0.9276,235,253
away,1200,t90_e,1600,0,963.7,0.803,363.0,600.7,0.0,0.0,0.3766,0.3766,127,337
away,1200,t90_e,1600,1,963.7,0.803,363.0,312.1,288.6,259.7,0.6761,0.6462,218,337
away,1200,t90_e,1600,2,963.7,0.803,363.0,120.1,480.6,432.6,0.8754,0.8255,278,337
away,1200,t90_w,400,0,229.7,0.191,197.2,32.5,0.0,0.0,0.8585,0.8585,69,80
