occupancy,consumption_kwh,orientation,size_wdc,battery_kwh,pv_kwh,pv_over_cons,direct_kwh,exported_kwh,charged_kwh,discharged_kwh,self_consumption_fraction,effective_savings_fraction,savings_usd,savings_usd_if_100pct
away,2400,t90_s,400,2,336.5,0.140,289.0,0.0,47.5,42.7,1.0000,0.9859,116,118
away,2400,t90_s,800,0,673.0,0.280,420.8,252.2,0.0,0.0,0.6253,0.6253,147,236
away,2400,t90_s,800,1,673.0,0.280,420.8,82.4,169.8,152.8,0.8775,0.8523,201,236
away,2400,t90_s,800,2,673.0,0.280,420.8,16.9,235.2,211.7,0.9748,0.9399,221,236
away,2400,t90_s,1200,0,1009.5,0.421,491.8,517.7,0.0,0.0,0.4871,0.4871,172,353
away,2400,t90_s,1200,1,1009.5,0.421,491.8,272.4,245.4,220.8,0.7302,0.7059,249,353
away,2400,t90_s,1200,2,1009.5,0.421,491.8,138.4,379.3,341.4,0.8629,0.8253,292,353
away,2400,t90_s,1600,0,1346.0,0.561,540.9,805.2,0.0,0.0,0.4018,0.4018,189,471
away,2400,t90_s,1600,1,1346.0,0.561,540.9,513.5,291.7,262.5,0.6185,0.5968,281,471
away,2400,t90_s,1600,2,1346.0,0.561,540.9,329.0,476.2,428.6,0.7556,0.7202,339,471
away,2400,t35_s,400,0,518.1,0.216,405.1,113.0,0.0,0.0,0.7819,0.7819,142,181
away,2400,t35_s,400,1,518.1,0.216,405.1,0.6,112.4,101.1,0.9988,0.9771,177,181
away,2400,t35_s,400,2,518.1,0.216,405.1,0.0,113.0,101.7,1.0000,0.9782,177,181
away,2400,t35_s,800,0,1036.2,0.432,547.3,488.9,0.0,0.0,0.5282,0.5282,192,363
away,2400,t35_s,800,1,1036.2,0.432,547.3,215.3,273.7,246.3,0.7923,0.7658,278,363
away,2400,t35_s,800,2,1036.2,0.432,547.3,48.0,440.9,396.8,0.9537,0.9111,330,363
away,2400,t35_s,1200,0,1554.3,0.648,617.3,937.0,0.0,0.0,0.3972,0.3972,216,544
away,2400,t35_s,1200,1,1554.3,0.648,617.3,620.0,317.0,285.3,0.6011,0.5807,316,544
away,2400,t35_s,1200,2,1554.3,0.648,617.3,361.6,575.4,517.9,0.7674,0.7304,397,544
away,2400,t35_s,1600,0,2072.4,0.864,660.1,1412.3,0.0,0.0,0.3185,0.3185,231,725
away,2400,t35_s,1600,1,2072.4,0.864,660.1,1075.8,336.5,302.9,0.4809,0.4647,337,725
away,2400,t35_s,1600,2,2072.4,0.864,660.1,785.0,627.3,564.6,0.6212,0.5909,429,725
away,2400,t60_s,400,0,466.5,0.194,370.5,96.0,0.0,0.0,0.7941,0.7941,130,163
away,2400,t60_s,400,1,466.5,0.194,370.5,1.2,94.8,85.3,0.9974,0.9771,160,163
away,2400,t60_s,400,2,466.5,0.194,370.5,0.0,96.0,86.4,1.0000,0.9794,160,163
away,2400,t60_s,800,0,933.0,0.389,503.3,429.7,0.0,0.0,0.5394,0.5394,176,327
away,2400,t60_s,800,1,933.0,0.389,503.3,173.2,256.6,230.9,0.8144,0.7869,257,327
away,2400,t60_s,800,2,933.0,0.389,503.3,41.6,388.1,349.3,0.9554,0.9138,298,327
away,2400,t60_s,1200,0,1399.5,0.583,572.1,827.4,0.0,0.0,0.4088,0.4088,200,490
away,2400,t60_s,1200,1,1399.5,0.583,572.1,521.8,305.5,275.0,0.6271,0.6053,296,490
away,2400,t60_s,1200,2,1399.5,0.583,572.1,287.1,540.2,486.2,0.7948,0.7562,370,490
away,2400,t60_s,1600,0,1866.0,0.777,614.1,1251.8,0.0,0.0,0.3291,0.3291,215,653
away,2400,t60_s,1600,1,1866.0,0.777,614.1,923.0,328.8,295.9,0.5053,0.4877,319,653
away,2400,t60_s,1600,2,1866.0,0.777,614.1,646.5,605.3,544.8,0.6535,0.6211,406,653
away,2400,t90_sw,400,0,313.0,0.130,270.9,42.1,0.0,0.0,0.8656,0.8656,95,110
away,2400,t90_sw,400,1,313.0,0.130,270.9,0.0,42.1,37.9,1.0000,0.9865,108,110
away,2400,t90_sw,400,2,313.0,0.130,270.9,0.0,42.1,37.9,1.0000,0.9866,108,110
away,2400,t90_sw,800,0,625.9,0.261,391.9,234.0,0.0,0.0,0.6261,0.6261,137,219
away,2400,t90_sw,800,1,625.9,0.261,391.9,46.8,187.2,168.5,0.9252,0.8953,196,219
away,2400,t90_sw,800,2,625.9,0.261,391.9,3.4,230.6,207.5,0.9945,0.9577,210,219
away,2400,t90_sw,1200,0,938.9,0.391,471.3,467.5,0.0,0.0,0.5020,0.5020,165,329
away,2400,t90_sw,1200,1,938.9,0.391,471.3,209.9,257.6,231.8,0.7764,0.7489,246,329
away,2400,t90_sw,1200,2,938.9,0.391,471.3,67.1,400.4,360.4,0.9285,0.8859,291,329
away,2400,t90_sw,1600,0,1251.8,0.522,528.9,722.9,0.0,0.0,0.4225,0.4225,185,438
away,2400,t90_sw,1600,1,1251.8,0.522,528.9,429.0,294.0,264.6,0.6573,0.6338,278,438
away,2400,t90_sw,1600,2,1251.8,0.522,528.9,221.5,501.5,451.3,0.8231,0.7830,343,438
away,2400,t90_e,400,0,240.9,0.100,233.9,7.1,0.0,0.0,0.9707,0.9707,82,84
away,2400,t90_e,400,1,240.9,0.100,233.9,0.0,7.1,6.4,1.0000,0.9971,84,84
away,2400,t90_e,400,2,240.9,0.100,233.9,0.0,7.1,6.4,1.0000,0.9971,84,84
away,2400,t90_e,800,0,481.8,0.201,374.4,107.4,0.0,0.0,0.7770,0.7770,131,169
away,2400,t90_e,800,1,481.8,0.201,374.4,0.7,106.8,96.1,0.9986,0.9765,165,169
away,2400,t90_e,800,2,481.8,0.201,374.4,0.0,107.4,96.7,1.0000,0.9777,165,169
away,2400,t90_e,1200,0,722.8,0.301,453.7,269.1,0.0,0.0,0.6277,0.6277,159,253
away,2400,t90_e,1200,1,722.8,0.301,453.7,51.3,217.7,196.0,0.9290,0.8988,227,253
away,2400,t90_e,1200,2,722.8,0.301,453.7,1.5,267.6,240.8,0.9980,0.9609,243,253
away,2400,t90_e,1600,0,963.7,0.402,512.1,451.6,0.0,0.0,0.5313,0.5313,179,337
away,2400,t90_e,1600,1,963.7,0.402,512.1,190.1,261.5,235.4,0.8027,0.7756,262,337
away,2400,t90_e,1600,2,963.7,0.402,512.1,37.7,413.9,372.5,0.9609,0.9179,310,337
away,2400,t90_w,400,0,229.7,0.096,211.4,18.3,0.0,0.0,0.9204,0.9204,74,80
away,2400,t90_w,400,1,229.7,0.096,211.4,0.0,18.3,16.5,1.0000,0.9920,80,80
away,2400,t90_w,400,2,229.7,0.096,211.4,0.0,18.3,16.5,1.0000,0.9920,80,80
away,2400,t90_w,800,0,459.3,0.191,340.0,119.4,0.0,0.0,0.7401,0.7401,119,161
away,2400,t90_w,800,1,459.3,0.191,340.0,1.2,118.1,106.3,0.9973,0.9716,156,161
away,2400,t90_w,800,2,459.3,0.191,340.0,0.0,119.4,107.4,1.0000,0.9740,157,161
away,2400,t90_w,1200,0,689.0,0.287,431.8,257.2,0.0,0.0,0.6267,0.6267,151,241
away,2400,t90_w,1200,1,689.0,0.287,431.8,49.9,207.3,186.6,0.9276,0.8976,216,241
away,2400,t90_w,1200,2,689.0,0.287,431.8,1.2,256.0,230.4,0.9983,0.9611,232,241
away,2400,t90_w,1600,0,918.7,0.383,499.6,419.1,0.0,0.0,0.5438,0.5438,175,322
away,2400,t90_w,1600,1,918.7,0.383,499.6,159.8,259.2,233.3,0.8260,0.7978,257,322
away,2400,t90_w,1600,2,918.7,0.383,499.6,30.5,388.6,349.7,0.9668,0.9245,297,322
away,3400,t90_s,400,0,336.5,0.099,293.6,42.9,0.0,0.0,0.8726,0.8726,103,118
away,3400,t90_s,400,1,336.5,0.099,293.6,0.6,42.3,38.1,0.9983,0.9857,116,118
away,3400,t90_s,400,2,336.5,0.099,293.6,0.0,42.9,38.6,1.0000,0.9873,116,118
away,3400,t90_s,800,0,673.0,0.198,453.5,219.5,0.0,0.0,0.6738,0.6738,159,236
away,3400,t90_s,800,1,673.0,0.198,453.5,68.8,150.7,135.6,0.8977,0.8754,206,236
away,3400,t90_s,800,2,673.0,0.198,453.5,13.5,206.0,185.4,0.9799,0.9493,224,236
away,3400,t90_s,1200,0,1009.5,0.297,547.1,462.4,0.0,0.0,0.5419,0.5419,191,353
away,3400,t90_s,1200,1,1009.5,0.297,547.1,232.4,230.0,207.0,0.7698,0.7470,264,353
away,3400,t90_s,1200,2,1009.5,0.297,547.1,111.1,351.3,316.2,0.8899,0.8551,302,353
away,3400,t90_s,1600,0,1346.0,0.396,613.0,733.1,0.0,0.0,0.4554,0.4554,215,471
away,3400,t90_s,1600,1,1346.0,0.396,613.0,456.8,276.3,248.7,0.6606,0.6401,302,471
away,3400,t90_s,1600,2,1346.0,0.396,613.0,282.8,450.3,405.3,0.7899,0.7565,356,471
away,3400,t35_s,400,0,518.1,0.152,414.8,103.3,0.0,0.0,0.8006,0.8006,145,181
away,3400,t35_s,400,1,518.1,0.152,414.8,0.4,102.9,92.6,0.9992,0.9793,178,181
away,3400,t35_s,400,2,518.1,0.152,414.8,0.0,103.3,93.0,1.0000,0.9801,178,181
away,3400,t35_s,800,0,1036.2,0.305,608.6,427.6,0.0,0.0,0.5873,0.5873,213,363
away,3400,t35_s,800,1,1036.2,0.305,608.6,180.0,247.6,222.9,0.8263,0.8024,291,363
away,3400,t35_s,800,2,1036.2,0.305,608.6,37.4,390.2,351.2,0.9639,0.9263,336,363
away,3400,t35_s,1200,0,1554.3,0.457,714.6,839.7,0.0,0.0,0.4598,0.4598,250,544
away,3400,t35_s,1200,1,1554.3,0.457,714.6,536.9,302.8,272.5,0.6546,0.6351,345,544
away,3400,t35_s,1200,2,1554.3,0.457,714.6,300.3,539.4,485.4,0.8068,0.7721,420,544
away,3400,t35_s,1600,0,2072.4,0.610,782.9,1289.5,0.0,0.0,0.3778,0.3778,274,725
away,3400,t35_s,1600,1,2072.4,0.610,782.9,962.6,326.9,294.2,0.5355,0.5198,377,725
away,3400,t35_s,1600,2,2072.4,0.610,782.9,681.8,607.7,547.0,0.6710,0.6417,465,725
away,3400,t60_s,400,0,466.5,0.137,379.8,86.7,0.0,0.0,0.8141,0.8141,133,163
away,3400,t60_s,400,1,466.5,0.137,379.8,1.0,85.8,77.2,0.9979,0.9796,160,163
away,3400,t60_s,400,2,466.5,0.137,379.8,0.0,86.7,78.0,1.0000,0.9814,160,163
away,3400,t60_s,800,0,933.0,0.274,555.1,377.9,0.0,0.0,0.5949,0.5949,194,327
away,3400,t60_s,800,1,933.0,0.274,555.1,143.7,234.2,210.8,0.8460,0.8209,268,327
away,3400,t60_s,800,2,933.0,0.274,555.1,33.1,344.8,310.3,0.9645,0.9275,303,327
away,3400,t60_s,1200,0,1399.5,0.412,655.6,743.8,0.0,0.0,0.4685,0.4685,229,490
away,3400,t60_s,1200,1,1399.5,0.412,655.6,456.4,287.5,258.7,0.6739,0.6534,320,490
away,3400,t60_s,1200,2,1399.5,0.412,655.6,237.4,506.4,455.8,0.8303,0.7941,389,490
away,3400,t60_s,1600,0,1866.0,0.549,721.0,1144.9,0.0,0.0,0.3864,0.3864,252,653
away,3400,t60_s,1600,1,1866.0,0.549,721.0,827.5,317.4,285.7,0.5565,0.5395,352,653
away,3400,t60_s,1600,2,1866.0,0.549,721.0,567.3,577.7,519.9,0.6960,0.6650,434,653
away,3400,t90_sw,400,0,313.0,0.092,275.2,37.8,0.0,0.0,0.8793,0.8793,96,110
away,3400,t90_sw,400,1,313.0,0.092,275.2,0.0,37.8,34.0,1.0000,0.9879,108,110
away,3400,t90_sw,400,2,313.0,0.092,275.2,0.0,37.8,34.0,1.0000,0.9879,108,110
away,3400,t90_sw,800,0,625.9,0.184,417.1,208.8,0.0,0.0,0.6664,0.6664,146,219
away,3400,t90_sw,800,1,625.9,0.184,417.1,41.2,167.6,150.8,0.9341,0.9074,199,219
away,3400,t90_sw,800,2,625.9,0.184,417.1,3.2,205.6,185.1,0.9949,0.9621,211,219
away,3400,t90_sw,1200,0,938.9,0.276,511.7,427.2,0.0,0.0,0.5450,0.5450,179,329
away,3400,t90_sw,1200,1,938.9,0.276,511.7,184.1,243.0,218.7,0.8039,0.7780,256,329
away,3400,t90_sw,1200,2,938.9,0.276,511.7,59.0,368.2,331.4,0.9372,0.8980,295,329
away,3400,t90_sw,1600,0,1251.8,0.368,584.2,667.6,0.0,0.0,0.4667,0.4667,204,438
away,3400,t90_sw,1600,1,1251.8,0.368,584.2,390.7,276.9,249.2,0.6879,0.6658,292,438
away,3400,t90_sw,1600,2,1251.8,0.368,584.2,193.2,474.4,427.0,0.8457,0.8078,354,438
away,3400,t90_e,400,0,240.9,0.071,235.3,5.6,0.0,0.0,0.9769,0.9769,82,84
away,3400,t90_e,400,1,240.9,0.071,235.3,0.0,5.6,5.0,1.0000,0.9977,84,84
away,3400,t90_e,400,2,240.9,0.071,235.3,0.0,5.6,5.0,1.0000,0.9977,84,84
away,3400,t90_e,800,0,481.8,0.142,418.3,63.6,0.0,0.0,0.8681,0.8681,146,169
away,3400,t90_e,800,1,481.8,0.142,418.3,0.3,63.2,56.9,0.9993,0.9862,166,169
away,3400,t90_e,800,2,481.8,0.142,418.3,0.0,63.6,57.2,1.0000,0.9868,166,169
away,3400,t90_e,1200,0,722.8,0.213,530.3,192.5,0.0,0.0,0.7337,0.7337,186,253
away,3400,t90_e,1200,1,722.8,0.213,530.3,18.1,174.3,156.9,0.9749,0.9508,241,253
away,3400,t90_e,1200,2,722.8,0.213,530.3,0.8,191.6,172.4,0.9988,0.9723,246,253
away,3400,t90_e,1600,0,963.7,0.283,605.0,358.7,0.0,0.0,0.6278,0.6278,212,337
away,3400,t90_e,1600,1,963.7,0.283,605.0,117.9,240.8,216.7,0.8777,0.8527,288,337
away,3400,t90_e,1600,2,963.7,0.283,605.0,13.8,344.9,310.4,0.9857,0.9499,320,337
away,3400,t90_w,400,0,229.7,0.068,213.2,16.4,0.0,0.0,0.9284,0.9284,75,80
away,3400,t90_w,400,1,229.7,0.068,213.2,0.0,16.4,14.8,1.0000,0.9928,80,80
away,3400,t90_w,400,2,229.7,0.068,213.2,0.0,16.4,14.8,1.0000,0.9928,80,80
away,3400,t90_w,800,0,459.3,0.135,351.2,108.1,0.0,0.0,0.7646,0.7646,123,161
away,3400,t90_w,800,1,459.3,0.135,351.2,1.0,107.1,96.4,0.9979,0.9745,157,161
away,3400,t90_w,800,2,459.3,0.135,351.2,0.0,108.1,97.3,1.0000,0.9765,157,161
away,3400,t90_w,1200,0,689.0,0.203,459.5,229.5,0.0,0.0,0.6669,0.6669,161,241
away,3400,t90_w,1200,1,689.0,0.203,459.5,43.2,186.4,167.7,0.9374,0.9103,220,241
away,3400,t90_w,1200,2,689.0,0.203,459.5,1.0,228.5,205.6,0.9985,0.9654,233,241
away,3400,t90_w,1600,0,918.7,0.270,544.0,374.6,0.0,0.0,0.5922,0.5922,190,322
away,3400,t90_w,1600,1,918.7,0.270,544.0,138.2,236.4,212.8,0.8496,0.8238,265,322
away,3400,t90_w,1600,2,918.7,0.270,544.0,22.0,352.7,317.4,0.9761,0.9377,302,322
away,4200,t90_s,400,0,336.5,0.080,295.0,41.5,0.0,0.0,0.8766,0.8766,103,118
away,4200,t90_s,400,1,336.5,0.080,295.0,0.5,41.0,36.9,0.9985,0.9863,116,118
away,4200,t90_s,400,2,336.5,0.080,295.0,0.0,41.5,37.4,1.0000,0.9877,116,118
away,4200,t90_s,800,0,673.0,0.160,467.1,206.0,0.0,0.0,0.6940,0.6940,163,236
away,4200,t90_s,800,1,673.0,0.160,467.1,65.8,140.1,126.1,0.9022,0.8814,208,236
away,4200,t90_s,800,2,673.0,0.160,467.1,13.0,193.0,173.7,0.9807,0.9520,224,236
away,4200,t90_s,1200,0,1009.5,0.240,576.3,433.3,0.0,0.0,0.5708,0.5708,202,353
away,4200,t90_s,1200,1,1009.5,0.240,576.3,213.2,220.1,198.1,0.7888,0.7670,271,353
away,4200,t90_s,1200,2,1009.5,0.240,576.3,101.7,331.6,298.4,0.8993,0.8664,306,353
away,4200,t90_s,1600,0,1346.0,0.320,654.9,691.1,0.0,0.0,0.4865,0.4865,229,471
away,4200,t90_s,1600,1,1346.0,0.320,654.9,423.6,267.5,240.8,0.6853,0.6654,313,471
away,4200,t90_s,1600,2,1346.0,0.320,654.9,256.7,434.4,391.0,0.8093,0.7770,366,471
away,4200,t35_s,400,0,518.1,0.123,417.5,100.6,0.0,0.0,0.8058,0.8058,146,181
away,4200,t35_s,400,1,518.1,0.123,417.5,0.4,100.3,90.2,0.9993,0.9800,178,181
away,4200,t35_s,400,2,518.1,0.123,417.5,0.0,100.6,90.5,1.0000,0.9806,178,181
away,4200,t35_s,800,0,1036.2,0.247,634.2,402.0,0.0,0.0,0.6120,0.6120,222,363
away,4200,t35_s,800,1,1036.2,0.247,634.2,174.1,227.9,205.1,0.8320,0.8100,294,363
away,4200,t35_s,800,2,1036.2,0.247,634.2,34.9,367.1,330.4,0.9664,0.9309,338,363
away,4200,t35_s,1200,0,1554.3,0.370,768.7,785.6,0.0,0.0,0.4946,0.4946,269,544
away,4200,t35_s,1200,1,1554.3,0.370,768.7,496.1,289.5,260.5,0.6808,0.6622,360,544
away,4200,t35_s,1200,2,1554.3,0.370,768.7,273.5,512.1,460.9,0.8241,0.7911,430,544
away,4200,t35_s,1600,0,2072.4,0.493,857.8,1214.6,0.0,0.0,0.4139,0.4139,300,725
away,4200,t35_s,1600,1,2072.4,0.493,857.8,894.9,319.7,287.7,0.5682,0.5528,401,725
away,4200,t35_s,1600,2,2072.4,0.493,857.8,626.7,587.9,529.1,0.6976,0.6692,485,725
away,4200,t60_s,400,0,466.5,0.111,382.3,84.2,0.0,0.0,0.8194,0.8194,134,163
away,4200,t60_s,400,1,466.5,0.111,382.3,0.9,83.4,75.0,0.9982,0.9803,160,163
away,4200,t60_s,400,2,466.5,0.111,382.3,0.0,84.2,75.8,1.0000,0.9819,160,163
away,4200,t60_s,800,0,933.0,0.222,577.3,355.6,0.0,0.0,0.6188,0.6188,202,327
away,4200,t60_s,800,1,933.0,0.222,577.3,137.6,218.1,196.3,0.8526,0.8292,271,327
away,4200,t60_s,800,2,933.0,0.222,577.3,31.8,323.8,291.4,0.9659,0.9312,304,327
away,4200,t60_s,1200,0,1399.5,0.333,701.2,698.2,0.0,0.0,0.5011,0.5011,245,490
away,4200,t60_s,1200,1,1399.5,0.333,701.2,422.1,276.1,248.5,0.6984,0.6786,332,490
away,4200,t60_s,1200,2,1399.5,0.333,701.2,215.4,482.8,434.5,0.8461,0.8116,398,490
away,4200,t60_s,1600,0,1866.0,0.444,784.9,1081.1,0.0,0.0,0.4206,0.4206,275,653
away,4200,t60_s,1600,1,1866.0,0.444,784.9,774.1,307.0,276.3,0.5851,0.5687,371,653
away,4200,t60_s,1600,2,1866.0,0.444,784.9,523.8,557.2,501.5,0.7193,0.6894,450,653
away,4200,t90_sw,400,0,313.0,0.075,276.7,36.3,0.0,0.0,0.8841,0.8841,97,110
away,4200,t90_sw,400,1,313.0,0.075,276.7,0.0,36.3,32.6,1.0000,0.9884,108,110
away,4200,t90_sw,400,2,313.0,0.075,276.7,0.0,36.3,32.6,1.0000,0.9884,108,110
away,4200,t90_sw,800,0,625.9,0.149,427.6,198.3,0.0,0.0,0.6832,0.6832,150,219
away,4200,t90_sw,800,1,625.9,0.149,427.6,39.9,158.4,142.6,0.9363,0.9110,200,219
away,4200,t90_sw,800,2,625.9,0.149,427.6,3.1,195.2,175.7,0.9951,0.9639,211,219
away,4200,t90_sw,1200,0,938.9,0.224,533.5,405.3,0.0,0.0,0.5683,0.5683,187,329
away,4200,t90_sw,1200,1,938.9,0.224,533.5,174.0,231.3,208.2,0.8147,0.7900,260,329
away,4200,t90_sw,1200,2,938.9,0.224,533.5,55.4,350.0,315.0,0.9410,0.9037,297,329
away,4200,t90_sw,1600,0,1251.8,0.298,614.1,637.7,0.0,0.0,0.4906,0.4906,215,438
away,4200,t90_sw,1600,1,1251.8,0.298,614.1,369.5,268.2,241.3,0.7048,0.6834,299,438
away,4200,t90_sw,1600,2,1251.8,0.298,614.1,181.3,456.4,410.7,0.8552,0.8187,359,438
away,4200,t90_e,400,0,240.9,0.057,235.7,5.2,0.0,0.0,0.9785,0.9785,83,84
away,4200,t90_e,400,1,240.9,0.057,235.7,0.0,5.2,4.7,1.0000,0.9978,84,84
away,4200,t90_e,400,2,240.9,0.057,235.7,0.0,5.2,4.7,1.0000,0.9978,84,84
away,4200,t90_e,800,0,481.8,0.115,430.9,51.0,0.0,0.0,0.8943,0.8943,151,169
away,4200,t90_e,800,1,481.8,0.115,430.9,0.2,50.8,45.7,0.9996,0.9891,167,169
away,4200,t90_e,800,2,481.8,0.115,430.9,0.0,51.0,45.9,1.0000,0.9894,167,169
away,4200,t90_e,1200,0,722.8,0.172,573.0,149.7,0.0,0.0,0.7928,0.7928,201,253
away,4200,t90_e,1200,1,722.8,0.172,573.0,7.5,142.2,128.0,0.9896,0.9699,245,253
away,4200,t90_e,1200,2,722.8,0.172,573.0,0.6,149.1,134.2,0.9991,0.9785,248,253
away,4200,t90_e,1600,0,963.7,0.229,666.0,297.7,0.0,0.0,0.6911,0.6911,233,337
away,4200,t90_e,1600,1,963.7,0.229,666.0,76.2,221.5,199.4,0.9210,0.8980,303,337
away,4200,t90_e,1600,2,963.7,0.229,666.0,6.2,291.5,262.4,0.9936,0.9634,325,337
away,4200,t90_w,400,0,229.7,0.055,214.1,15.6,0.0,0.0,0.9320,0.9320,75,80
away,4200,t90_w,400,1,229.7,0.055,214.1,0.0,15.6,14.0,1.0000,0.9932,80,80
away,4200,t90_w,400,2,229.7,0.055,214.1,0.0,15.6,14.0,1.0000,0.9932,80,80
away,4200,t90_w,800,0,459.3,0.109,354.0,105.4,0.0,0.0,0.7706,0.7706,124,161
away,4200,t90_w,800,1,459.3,0.109,354.0,0.9,104.4,94.0,0.9980,0.9752,157,161
away,4200,t90_w,800,2,459.3,0.109,354.0,0.0,105.4,94.8,1.0000,0.9771,157,161
away,4200,t90_w,1200,0,689.0,0.164,470.2,218.8,0.0,0.0,0.6824,0.6824,165,241
away,4200,t90_w,1200,1,689.0,0.164,470.2,41.3,177.5,159.8,0.9401,0.9143,220,241
away,4200,t90_w,1200,2,689.0,0.164,470.2,1.0,217.8,196.0,0.9985,0.9669,233,241
away,4200,t90_w,1600,0,918.7,0.219,564.8,353.9,0.0,0.0,0.6148,0.6148,198,322
away,4200,t90_w,1600,1,918.7,0.219,564.8,131.3,222.6,200.3,0.8570,0.8328,268,322
away,4200,t90_w,1600,2,918.7,0.219,564.8,19.6,334.3,300.9,0.9787,0.9423,303,322
away,7000,t90_s,400,0,336.5,0.048,297.4,39.2,0.0,0.0,0.8836,0.8836,104,118
away,7000,t90_s,400,1,336.5,0.048,297.4,0.4,38.8,34.9,0.9989,0.9873,116,118
away,7000,t90_s,400,2,336.5,0.048,297.4,0.0,39.2,35.2,1.0000,0.9884,116,118
away,7000,t90_s,800,0,673.0,0.096,477.8,195.2,0.0,0.0,0.7100,0.7100,167,236
away,7000,t90_s,800,1,673.0,0.096,477.8,63.6,131.6,118.4,0.9055,0.8860,209,236
away,7000,t90_s,800,2,673.0,0.096,477.8,12.1,183.1,164.8,0.9821,0.9549,225,236
away,7000,t90_s,1200,0,1009.5,0.144,621.0,388.6,0.0,0.0,0.6151,0.6151,217,353
away,7000,t90_s,1200,1,1009.5,0.144,621.0,194.8,193.7,174.4,0.8070,0.7878,278,353
away,7000,t90_s,1200,2,1009.5,0.144,621.0,95.5,293.1,263.8,0.9054,0.8764,310,353
away,7000,t90_s,1600,0,1346.0,0.192,736.2,609.8,0.0,0.0,0.5469,0.5469,258,471
away,7000,t90_s,1600,1,1346.0,0.192,736.2,366.8,243.1,218.8,0.7275,0.7095,334,471
away,7000,t90_s,1600,2,1346.0,0.192,736.2,222.1,387.7,349.0,0.8350,0.8062,380,471
away,7000,t35_s,400,0,518.1,0.074,422.2,95.9,0.0,0.0,0.8150,0.8150,148,181
away,7000,t35_s,400,1,518.1,0.074,422.2,0.2,95.6,86.1,0.9996,0.9811,178,181
away,7000,t35_s,400,2,518.1,0.074,422.2,0.0,95.9,86.3,1.0000,0.9815,178,181
away,7000,t35_s,800,0,1036.2,0.148,654.2,382.0,0.0,0.0,0.6314,0.6314,229,363
away,7000,t35_s,800,1,1036.2,0.148,654.2,168.6,213.4,192.0,0.8373,0.8167,296,363
away,7000,t35_s,800,2,1036.2,0.148,654.2,32.0,350.0,315.0,0.9691,0.9353,339,363
away,7000,t35_s,1200,0,1554.3,0.222,856.7,697.6,0.0,0.0,0.5512,0.5512,300,544
away,7000,t35_s,1200,1,1554.3,0.222,856.7,453.4,244.3,219.8,0.7083,0.6926,377,544
away,7000,t35_s,1200,2,1554.3,0.222,856.7,257.3,440.3,396.3,0.8345,0.8061,439,544
away,7000,t35_s,1600,0,2072.4,0.296,1014.2,1058.2,0.0,0.0,0.4894,0.4894,355,725
away,7000,t35_s,1600,1,2072.4,0.296,1014.2,773.7,284.5,256.0,0.6267,0.6129,445,725
away,7000,t35_s,1600,2,2072.4,0.296,1014.2,541.9,516.3,464.6,0.7385,0.7136,518,725
away,7000,t60_s,400,0,466.5,0.067,386.6,79.9,0.0,0.0,0.8287,0.8287,135,163
away,7000,t60_s,400,1,466.5,0.067,386.6,0.7,79.2,71.3,0.9985,0.9815,160,163
away,7000,t60_s,400,2,466.5,0.067,386.6,0.0,79.9,71.9,1.0000,0.9829,160,163
away,7000,t60_s,800,0,933.0,0.133,596.7,336.3,0.0,0.0,0.6395,0.6395,209,327
away,7000,t60_s,800,1,933.0,0.133,596.7,132.8,203.5,183.1,0.8576,0.8358,273,327
away,7000,t60_s,800,2,933.0,0.133,596.7,30.1,306.3,275.6,0.9678,0.9350,305,327
away,7000,t60_s,1200,0,1399.5,0.200,777.8,621.6,0.0,0.0,0.5558,0.5558,272,490
away,7000,t60_s,1200,1,1399.5,0.200,777.8,383.4,238.2,214.4,0.7260,0.7090,347,490
away,7000,t60_s,1200,2,1399.5,0.200,777.8,200.4,421.2,379.1,0.8568,0.8267,405,490
away,7000,t60_s,1600,0,1866.0,0.267,916.8,949.2,0.0,0.0,0.4913,0.4913,321,653
away,7000,t60_s,1600,1,1866.0,0.267,916.8,672.5,276.6,249.0,0.6396,0.6247,408,653
away,7000,t60_s,1600,2,1866.0,0.267,916.8,451.6,497.6,447.8,0.7580,0.7313,478,653
away,7000,t90_sw,400,0,313.0,0.045,279.3,33.6,0.0,0.0,0.8925,0.8925,98,110
away,7000,t90_sw,400,1,313.0,0.045,279.3,0.0,33.6,30.3,1.0000,0.9892,108,110
away,7000,t90_sw,400,2,313.0,0.045,279.3,0.0,33.6,30.3,1.0000,0.9892,108,110
away,7000,t90_sw,800,0,625.9,0.089,435.8,190.1,0.0,0.0,0.6963,0.6963,153,219
away,7000,t90_sw,800,1,625.9,0.089,435.8,37.8,152.2,137.0,0.9396,0.9152,201,219
away,7000,t90_sw,800,2,625.9,0.089,435.8,2.8,187.2,168.5,0.9955,0.9655,212,219
away,7000,t90_sw,1200,0,938.9,0.134,567.1,371.8,0.0,0.0,0.6040,0.6040,198,329
away,7000,t90_sw,1200,1,938.9,0.134,567.1,165.0,206.8,186.1,0.8243,0.8022,264,329
away,7000,t90_sw,1200,2,938.9,0.134,567.1,53.0,318.8,286.9,0.9436,0.9096,299,329
away,7000,t90_sw,1600,0,1251.8,0.179,675.4,576.4,0.0,0.0,0.5396,0.5396,236,438
away,7000,t90_sw,1600,1,1251.8,0.179,675.4,336.9,239.5,215.5,0.7309,0.7117,312,438
