occupancy,consumption_kwh,orientation,size_wdc,battery_kwh,pv_kwh,pv_over_cons,direct_kwh,exported_kwh,charged_kwh,discharged_kwh,self_consumption_fraction,effective_savings_fraction,savings_usd,savings_usd_if_100pct
base,4200,t90_e,800,2,481.8,0.115,468.1,0.0,13.8,12.4,1.0000,0.9971,163,164
base,4200,t90_e,1200,0,722.8,0.172,618.7,104.1,0.0,0.0,0.8559,0.8559,210,246
base,4200,t90_e,1200,1,722.8,0.172,618.7,3.2,100.9,90.8,0.9956,0.9816,241,246
base,4200,t90_e,1200,2,722.8,0.172,618.7,0.0,104.1,93.7,1.0000,0.9856,242,246
base,4200,t90_e,1600,0,963.7,0.229,722.2,241.5,0.0,0.0,0.7494,0.7494,246,328
base,4200,t90_e,1600,1,963.7,0.229,722.2,51.1,190.4,171.4,0.9470,0.9272,304,328
base,4200,t90_e,1600,2,963.7,0.229,722.2,3.2,238.3,214.5,0.9967,0.9720,318,328
base,4200,t90_w,400,0,229.7,0.055,229.7,0.0,0.0,0.0,1.0000,1.0000,78,78
base,4200,t90_w,400,1,229.7,0.055,229.7,0.0,0.0,0.0,1.0000,1.0000,78,78
base,4200,t90_w,400,2,229.7,0.055,229.7,0.0,0.0,0.0,1.0000,1.0000,78,78
base,4200,t90_w,800,0,459.3,0.109,454.8,4.6,0.0,0.0,0.9900,0.9900,155,156
base,4200,t90_w,800,1,459.3,0.109,454.8,0.0,4.6,4.1,1.0000,0.9990,156,156
base,4200,t90_w,800,2,459.3,0.109,454.8,0.0,4.6,4.1,1.0000,0.9990,156,156
base,4200,t90_w,1200,0,689.0,0.164,636.5,52.5,0.0,0.0,0.9238,0.9238,216,234
base,4200,t90_w,1200,1,689.0,0.164,636.5,0.7,51.8,46.6,0.9990,0.9915,232,234
base,4200,t90_w,1200,2,689.0,0.164,636.5,0.0,52.5,47.3,1.0000,0.9924,232,234
base,4200,t90_w,1600,0,918.7,0.219,781.1,137.6,0.0,0.0,0.8502,0.8502,266,312
base,4200,t90_w,1600,1,918.7,0.219,781.1,16.7,120.9,108.8,0.9818,0.9686,303,312
base,4200,t90_w,1600,2,918.7,0.219,781.1,0.9,136.7,123.0,0.9990,0.9841,307,312
base,7000,t90_s,400,0,336.5,0.048,336.5,0.0,0.0,0.0,1.0000,1.0000,114,114
base,7000,t90_s,400,1,336.5,0.048,336.5,0.0,0.0,0.0,1.0000,1.0000,114,114
base,7000,t90_s,400,2,336.5,0.048,336.5,0.0,0.0,0.0,1.0000,1.0000,114,114
base,7000,t90_s,800,0,673.0,0.096,672.0,1.0,0.0,0.0,0.9985,0.9985,228,229
base,7000,t90_s,800,1,673.0,0.096,672.0,0.0,1.0,0.9,1.0000,0.9999,229,229
base,7000,t90_s,800,2,673.0,0.096,672.0,0.0,1.0,0.9,1.0000,0.9999,229,229
base,7000,t90_s,1200,0,1009.5,0.144,958.6,50.9,0.0,0.0,0.9496,0.9496,326,343
base,7000,t90_s,1200,1,1009.5,0.144,958.6,7.3,43.6,39.2,0.9927,0.9884,339,343
base,7000,t90_s,1200,2,1009.5,0.144,958.6,0.2,50.7,45.7,0.9998,0.9948,341,343
base,7000,t90_s,1600,0,1346.0,0.192,1163.0,183.0,0.0,0.0,0.8640,0.8640,395,458
base,7000,t90_s,1600,1,1346.0,0.192,1163.0,74.8,108.2,97.4,0.9444,0.9364,429,458
base,7000,t90_s,1600,2,1346.0,0.192,1163.0,22.5,160.4,144.4,0.9832,0.9713,445,458
base,7000,t35_s,400,0,518.1,0.074,518.1,0.0,0.0,0.0,1.0000,1.0000,176,176
base,7000,t35_s,400,1,518.1,0.074,518.1,0.0,0.0,0.0,1.0000,1.0000,176,176
base,7000,t35_s,400,2,518.1,0.074,518.1,0.0,0.0,0.0,1.0000,1.0000,176,176
base,7000,t35_s,800,0,1036.2,0.148,1033.3,2.9,0.0,0.0,0.9972,0.9972,351,352
base,7000,t35_s,800,1,1036.2,0.148,1033.3,0.0,2.9,2.6,1.0000,0.9997,352,352
base,7000,t35_s,800,2,1036.2,0.148,1033.3,0.0,2.9,2.6,1.0000,0.9997,352,352
base,7000,t35_s,1200,0,1554.3,0.222,1426.2,128.1,0.0,0.0,0.9176,0.9176,485,528
base,7000,t35_s,1200,1,1554.3,0.222,1426.2,15.4,112.6,101.4,0.9901,0.9828,519,528
base,7000,t35_s,1200,2,1554.3,0.222,1426.2,0.5,127.5,114.8,0.9996,0.9914,524,528
base,7000,t35_s,1600,0,2072.4,0.296,1683.1,389.3,0.0,0.0,0.8121,0.8121,572,705
base,7000,t35_s,1600,1,2072.4,0.296,1683.1,184.2,205.1,184.6,0.9111,0.9012,635,705
base,7000,t35_s,1600,2,2072.4,0.296,1683.1,62.5,326.8,294.2,0.9698,0.9541,672,705
base,7000,t60_s,400,0,466.5,0.067,466.5,0.0,0.0,0.0,1.0000,1.0000,159,159
base,7000,t60_s,400,1,466.5,0.067,466.5,0.0,0.0,0.0,1.0000,1.0000,159,159
base,7000,t60_s,400,2,466.5,0.067,466.5,0.0,0.0,0.0,1.0000,1.0000,159,159
base,7000,t60_s,800,0,933.0,0.133,930.6,2.3,0.0,0.0,0.9975,0.9975,316,317
base,7000,t60_s,800,1,933.0,0.133,930.6,0.0,2.3,2.1,1.0000,0.9998,317,317
base,7000,t60_s,800,2,933.0,0.133,930.6,0.0,2.3,2.1,1.0000,0.9998,317,317
base,7000,t60_s,1200,0,1399.5,0.200,1281.0,118.5,0.0,0.0,0.9153,0.9153,436,476
base,7000,t60_s,1200,1,1399.5,0.200,1281.0,18.6,99.9,89.9,0.9867,0.9796,466,476
base,7000,t60_s,1200,2,1399.5,0.200,1281.0,0.6,117.9,106.1,0.9996,0.9912,472,476
base,7000,t60_s,1600,0,1866.0,0.267,1518.4,347.5,0.0,0.0,0.8137,0.8137,516,634
base,7000,t60_s,1600,1,1866.0,0.267,1518.4,168.2,179.3,161.4,0.9099,0.9002,571,634
base,7000,t60_s,1600,2,1866.0,0.267,1518.4,65.2,282.3,254.1,0.9651,0.9499,603,634
base,7000,t90_sw,400,0,313.0,0.045,313.0,0.0,0.0,0.0,1.0000,1.0000,106,106
base,7000,t90_sw,400,1,313.0,0.045,313.0,0.0,0.0,0.0,1.0000,1.0000,106,106
base,7000,t90_sw,400,2,313.0,0.045,313.0,0.0,0.0,0.0,1.0000,1.0000,106,106
base,7000,t90_sw,800,0,625.9,0.089,625.3,0.6,0.0,0.0,0.9990,0.9990,213,213
base,7000,t90_sw,800,1,625.9,0.089,625.3,0.0,0.6,0.6,1.0000,0.9999,213,213
base,7000,t90_sw,800,2,625.9,0.089,625.3,0.0,0.6,0.6,1.0000,0.9999,213,213
base,7000,t90_sw,1200,0,938.9,0.134,904.0,34.8,0.0,0.0,0.9629,0.9629,307,319
