occupancy,consumption_kwh,orientation,size_wdc,battery_kwh,pv_kwh,pv_over_cons,direct_kwh,exported_kwh,charged_kwh,discharged_kwh,self_consumption_fraction,effective_savings_fraction,savings_usd,savings_usd_if_100pct
base,2400,t90_s,400,0,336.5,0.140,321.8,14.7,0.0,0.0,0.9563,0.9563,109,114
base,2400,t90_s,400,1,336.5,0.140,321.8,0.0,14.7,13.2,1.0000,0.9956,114,114
base,2400,t90_s,400,2,336.5,0.140,321.8,0.0,14.7,13.2,1.0000,0.9956,114,114
base,2400,t90_s,800,0,673.0,0.280,493.4,179.7,0.0,0.0,0.7331,0.7331,168,229
base,2400,t90_s,800,1,673.0,0.280,493.4,50.4,129.2,116.3,0.9251,0.9059,207,229
base,2400,t90_s,800,2,673.0,0.280,493.4,6.0,173.6,156.3,0.9911,0.9653,221,229
base,2400,t90_s,1200,0,1009.5,0.421,595.9,413.6,0.0,0.0,0.5903,0.5903,203,343
base,2400,t90_s,1200,1,1009.5,0.421,595.9,218.1,195.5,176.0,0.7840,0.7646,262,343
base,2400,t90_s,1200,2,1009.5,0.421,595.9,104.2,309.4,278.4,0.8967,0.8661,297,343
base,2400,t90_s,1600,0,1346.0,0.561,664.7,681.3,0.0,0.0,0.4938,0.4938,226,458
base,2400,t90_s,1600,1,1346.0,0.561,664.7,433.8,247.5,222.7,0.6777,0.6593,302,458
base,2400,t90_s,1600,2,1346.0,0.561,664.7,279.7,401.7,361.5,0.7922,0.7624,349,458
base,2400,t35_s,400,0,518.1,0.216,480.0,38.1,0.0,0.0,0.9264,0.9264,163,176
base,2400,t35_s,400,1,518.1,0.216,480.0,0.0,38.1,34.3,1.0000,0.9926,175,176
base,2400,t35_s,400,2,518.1,0.216,480.0,0.0,38.1,34.3,1.0000,0.9926,175,176
base,2400,t35_s,800,0,1036.2,0.432,681.5,354.7,0.0,0.0,0.6577,0.6577,232,352
base,2400,t35_s,800,1,1036.2,0.432,681.5,119.2,235.5,212.0,0.8849,0.8622,304,352
base,2400,t35_s,800,2,1036.2,0.432,681.5,13.2,341.5,307.3,0.9872,0.9543,336,352
base,2400,t35_s,1200,0,1554.3,0.648,776.0,778.3,0.0,0.0,0.4993,0.4993,264,528
base,2400,t35_s,1200,1,1554.3,0.648,776.0,475.1,303.2,272.8,0.6943,0.6748,357,528
base,2400,t35_s,1200,2,1554.3,0.648,776.0,246.4,531.9,478.7,0.8415,0.8073,427,528
base,2400,t35_s,1600,0,2072.4,0.864,833.7,1238.7,0.0,0.0,0.4023,0.4023,283,705
base,2400,t35_s,1600,1,2072.4,0.864,833.7,910.2,328.5,295.7,0.5608,0.5449,384,705
base,2400,t35_s,1600,2,2072.4,0.864,833.7,632.9,605.8,545.3,0.6946,0.6654,469,705
base,2400,t60_s,400,0,466.5,0.194,431.1,35.4,0.0,0.0,0.9241,0.9241,147,159
base,2400,t60_s,400,1,466.5,0.194,431.1,0.0,35.4,31.9,1.0000,0.9924,157,159
base,2400,t60_s,400,2,466.5,0.194,431.1,0.0,35.4,31.9,1.0000,0.9924,157,159
base,2400,t60_s,800,0,933.0,0.389,621.0,311.9,0.0,0.0,0.6657,0.6657,211,317
base,2400,t60_s,800,1,933.0,0.389,621.0,105.3,206.6,186.0,0.8871,0.8650,274,317
base,2400,t60_s,800,2,933.0,0.389,621.0,15.5,296.4,266.8,0.9834,0.9516,302,317
base,2400,t60_s,1200,0,1399.5,0.583,714.6,684.9,0.0,0.0,0.5106,0.5106,243,476
base,2400,t60_s,1200,1,1399.5,0.583,714.6,400.9,284.0,255.6,0.7136,0.6933,330,476
base,2400,t60_s,1200,2,1399.5,0.583,714.6,205.7,479.2,431.3,0.8530,0.8188,390,476
base,2400,t60_s,1600,0,1866.0,0.777,772.1,1093.8,0.0,0.0,0.4138,0.4138,263,634
base,2400,t60_s,1600,1,1866.0,0.777,772.1,775.6,318.2,286.4,0.5843,0.5673,360,634
base,2400,t60_s,1600,2,1866.0,0.777,772.1,521.3,572.6,515.3,0.7206,0.6899,438,634
base,2400,t90_sw,400,0,313.0,0.130,303.0,10.0,0.0,0.0,0.9681,0.9681,103,106
base,2400,t90_sw,400,1,313.0,0.130,303.0,0.0,10.0,9.0,1.0000,0.9968,106,106
base,2400,t90_sw,400,2,313.0,0.130,303.0,0.0,10.0,9.0,1.0000,0.9968,106,106
base,2400,t90_sw,800,0,625.9,0.261,484.7,141.2,0.0,0.0,0.7743,0.7743,165,213
base,2400,t90_sw,800,1,625.9,0.261,484.7,17.1,124.1,111.7,0.9726,0.9528,203,213
base,2400,t90_sw,800,2,625.9,0.261,484.7,0.6,140.6,126.6,0.9990,0.9766,208,213
base,2400,t90_sw,1200,0,938.9,0.391,601.3,337.6,0.0,0.0,0.6405,0.6405,204,319
base,2400,t90_sw,1200,1,938.9,0.391,601.3,139.1,198.5,178.6,0.8519,0.8307,265,319
base,2400,t90_sw,1200,2,938.9,0.391,601.3,36.2,301.4,271.2,0.9615,0.9294,297,319
base,2400,t90_sw,1600,0,1251.8,0.522,682.3,569.5,0.0,0.0,0.5451,0.5451,232,426
base,2400,t90_sw,1600,1,1251.8,0.522,682.3,315.2,254.3,228.9,0.7482,0.7279,310,426
base,2400,t90_sw,1600,2,1251.8,0.522,682.3,159.2,410.3,369.2,0.8728,0.8400,358,426
base,2400,t90_e,400,0,240.9,0.100,238.3,2.6,0.0,0.0,0.9891,0.9891,81,82
base,2400,t90_e,400,1,240.9,0.100,238.3,0.0,2.6,2.4,1.0000,0.9989,82,82
base,2400,t90_e,400,2,240.9,0.100,238.3,0.0,2.6,2.4,1.0000,0.9989,82,82
base,2400,t90_e,800,0,481.8,0.201,385.3,96.5,0.0,0.0,0.7997,0.7997,131,164
base,2400,t90_e,800,1,481.8,0.201,385.3,0.6,95.9,86.3,0.9987,0.9788,160,164
base,2400,t90_e,800,2,481.8,0.201,385.3,0.0,96.5,86.9,1.0000,0.9800,161,164
base,2400,t90_e,1200,0,722.8,0.301,470.0,252.7,0.0,0.0,0.6503,0.6503,160,246
base,2400,t90_e,1200,1,722.8,0.301,470.0,46.2,206.5,185.8,0.9360,0.9074,223,246
base,2400,t90_e,1200,2,722.8,0.301,470.0,1.7,251.0,225.9,0.9976,0.9629,237,246
base,2400,t90_e,1600,0,963.7,0.402,536.8,426.9,0.0,0.0,0.5570,0.5570,183,328
base,2400,t90_e,1600,1,963.7,0.402,536.8,174.3,252.6,227.3,0.8191,0.7929,260,328
base,2400,t90_e,1600,2,963.7,0.402,536.8,33.8,393.1,353.8,0.9650,0.9242,303,328
base,2400,t90_w,400,0,229.7,0.096,228.9,0.7,0.0,0.0,0.9969,0.9969,78,78
base,2400,t90_w,400,1,229.7,0.096,228.9,0.0,0.7,0.6,1.0000,0.9997,78,78
base,2400,t90_w,400,2,229.7,0.096,228.9,0.0,0.7,0.6,1.0000,0.9997,78,78
base,2400,t90_w,800,0,459.3,0.191,407.1,52.2,0.0,0.0,0.8863,0.8863,138,156
base,2400,t90_w,800,1,459.3,0.191,407.1,0.1,52.1,46.9,0.9997,0.9884,154,156
base,2400,t90_w,800,2,459.3,0.191,407.1,0.0,52.2,47.0,1.0000,0.9886,154,156
base,2400,t90_w,1200,0,689.0,0.287,529.6,159.4,0.0,0.0,0.7687,0.7687,180,234
base,2400,t90_w,1200,1,689.0,0.287,529.6,15.9,143.4,129.1,0.9769,0.9560,224,234
base,2400,t90_w,1200,2,689.0,0.287,529.6,0.6,158.7,142.9,0.9991,0.9761,229,234
base,2400,t90_w,1600,0,918.7,0.383,616.2,302.5,0.0,0.0,0.6708,0.6708,210,312
base,2400,t90_w,1600,1,918.7,0.383,616.2,83.4,219.1,197.2,0.9092,0.8854,277,312
base,2400,t90_w,1600,2,918.7,0.383,616.2,12.4,290.0,261.0,0.9865,0.9549,298,312
base,3400,t90_s,400,0,336.5,0.099,335.7,0.8,0.0,0.0,0.9976,0.9976,114,114
base,3400,t90_s,400,1,336.5,0.099,335.7,0.0,0.8,0.7,1.0000,0.9998,114,114
base,3400,t90_s,400,2,336.5,0.099,335.7,0.0,0.8,0.7,1.0000,0.9998,114,114
base,3400,t90_s,800,0,673.0,0.198,575.0,98.0,0.0,0.0,0.8544,0.8544,196,229
base,3400,t90_s,800,1,673.0,0.198,575.0,13.4,84.6,76.1,0.9801,0.9675,221,229
base,3400,t90_s,800,2,673.0,0.198,575.0,0.2,97.7,88.0,0.9996,0.9851,225,229
base,3400,t90_s,1200,0,1009.5,0.297,719.5,290.0,0.0,0.0,0.7127,0.7127,245,343
base,3400,t90_s,1200,1,1009.5,0.297,719.5,134.8,155.2,139.7,0.8665,0.8511,292,343
base,3400,t90_s,1200,2,1009.5,0.297,719.5,49.9,240.2,216.1,0.9506,0.9268,318,343
base,3400,t90_s,1600,0,1346.0,0.396,822.7,523.3,0.0,0.0,0.6112,0.6112,280,458
base,3400,t90_s,1600,1,1346.0,0.396,822.7,319.7,203.6,183.2,0.7625,0.7474,342,458
base,3400,t90_s,1600,2,1346.0,0.396,822.7,190.5,332.8,299.6,0.8585,0.8338,382,458
base,3400,t35_s,400,0,518.1,0.152,516.0,2.1,0.0,0.0,0.9959,0.9959,175,176
base,3400,t35_s,400,1,518.1,0.152,516.0,0.0,2.1,1.9,1.0000,0.9996,176,176
base,3400,t35_s,400,2,518.1,0.152,516.0,0.0,2.1,1.9,1.0000,0.9996,176,176
base,3400,t35_s,800,0,1036.2,0.305,829.6,206.6,0.0,0.0,0.8006,0.8006,282,352
base,3400,t35_s,800,1,1036.2,0.305,829.6,36.9,169.8,152.8,0.9644,0.9480,334,352
base,3400,t35_s,800,2,1036.2,0.305,829.6,0.8,205.8,185.2,0.9992,0.9793,345,352
base,3400,t35_s,1200,0,1554.3,0.457,985.9,568.4,0.0,0.0,0.6343,0.6343,335,528
base,3400,t35_s,1200,1,1554.3,0.457,985.9,299.6,268.8,241.9,0.8072,0.7900,417,528
base,3400,t35_s,1200,2,1554.3,0.457,985.9,124.4,443.9,399.5,0.9199,0.8914,471,528
base,3400,t35_s,1600,0,2072.4,0.610,1080.7,991.7,0.0,0.0,0.5215,0.5215,367,705
base,3400,t35_s,1600,1,2072.4,0.610,1080.7,681.9,309.8,278.8,0.6710,0.6560,462,705
base,3400,t35_s,1600,2,2072.4,0.610,1080.7,433.8,558.0,502.2,0.7907,0.7638,538,705
base,3400,t60_s,400,0,466.5,0.137,464.6,1.9,0.0,0.0,0.9959,0.9959,158,159
base,3400,t60_s,400,1,466.5,0.137,464.6,0.0,1.9,1.7,1.0000,0.9996,159,159
base,3400,t60_s,400,2,466.5,0.137,464.6,0.0,1.9,1.7,1.0000,0.9996,159,159
base,3400,t60_s,800,0,933.0,0.274,748.9,184.1,0.0,0.0,0.8027,0.8027,255,317
base,3400,t60_s,800,1,933.0,0.274,748.9,37.4,146.6,132.0,0.9599,0.9442,300,317
base,3400,t60_s,800,2,933.0,0.274,748.9,0.8,183.2,164.9,0.9991,0.9795,311,317
base,3400,t60_s,1200,0,1399.5,0.412,899.8,499.7,0.0,0.0,0.6430,0.6430,306,476
base,3400,t60_s,1200,1,1399.5,0.412,899.8,257.6,242.0,217.8,0.8159,0.7986,380,476
base,3400,t60_s,1200,2,1399.5,0.412,899.8,112.9,386.8,348.1,0.9193,0.8917,424,476
base,3400,t60_s,1600,0,1866.0,0.549,994.3,871.7,0.0,0.0,0.5328,0.5328,338,634
base,3400,t60_s,1600,1,1866.0,0.549,994.3,580.2,291.5,262.4,0.6891,0.6734,427,634
base,3400,t60_s,1600,2,1866.0,0.549,994.3,362.7,509.0,458.1,0.8056,0.7783,494,634
base,3400,t90_sw,400,0,313.0,0.092,312.5,0.5,0.0,0.0,0.9984,0.9984,106,106
base,3400,t90_sw,400,1,313.0,0.092,312.5,0.0,0.5,0.4,1.0000,0.9998,106,106
base,3400,t90_sw,400,2,313.0,0.092,312.5,0.0,0.5,0.4,1.0000,0.9998,106,106
base,3400,t90_sw,800,0,625.9,0.184,553.3,72.6,0.0,0.0,0.8840,0.8840,188,213
base,3400,t90_sw,800,1,625.9,0.184,553.3,3.4,69.1,62.2,0.9945,0.9834,209,213
base,3400,t90_sw,800,2,625.9,0.184,553.3,0.0,72.6,65.3,1.0000,0.9884,210,213
base,3400,t90_sw,1200,0,938.9,0.276,709.4,229.5,0.0,0.0,0.7556,0.7556,241,319
base,3400,t90_sw,1200,1,938.9,0.276,709.4,72.8,156.7,141.0,0.9225,0.9058,289,319
base,3400,t90_sw,1200,2,938.9,0.276,709.4,12.1,217.4,195.7,0.9872,0.9640,308,319
base,3400,t90_sw,1600,0,1251.8,0.368,827.1,424.7,0.0,0.0,0.6607,0.6607,281,426
base,3400,t90_sw,1600,1,1251.8,0.368,827.1,217.3,207.4,186.7,0.8264,0.8098,345,426
base,3400,t90_sw,1600,2,1251.8,0.368,827.1,91.8,332.9,299.6,0.9266,0.9000,383,426
base,3400,t90_e,400,0,240.9,0.071,240.8,0.1,0.0,0.0,0.9996,0.9996,82,82
base,3400,t90_e,400,1,240.9,0.071,240.8,0.0,0.1,0.1,1.0000,1.0000,82,82
base,3400,t90_e,400,2,240.9,0.071,240.8,0.0,0.1,0.1,1.0000,1.0000,82,82
base,3400,t90_e,800,0,481.8,0.142,443.2,38.6,0.0,0.0,0.9198,0.9198,151,164
base,3400,t90_e,800,1,481.8,0.142,443.2,0.0,38.6,34.8,1.0000,0.9920,163,164
base,3400,t90_e,800,2,481.8,0.142,443.2,0.0,38.6,34.8,1.0000,0.9920,163,164
base,3400,t90_e,1200,0,722.8,0.213,562.4,160.3,0.0,0.0,0.7782,0.7782,191,246
base,3400,t90_e,1200,1,722.8,0.213,562.4,11.4,148.9,134.0,0.9842,0.9636,237,246
base,3400,t90_e,1200,2,722.8,0.213,562.4,0.1,160.3,144.3,0.9999,0.9778,240,246
base,3400,t90_e,1600,0,963.7,0.283,647.2,316.5,0.0,0.0,0.6716,0.6716,220,328
base,3400,t90_e,1600,1,963.7,0.283,647.2,95.0,221.5,199.3,0.9014,0.8784,288,328
base,3400,t90_e,1600,2,963.7,0.283,647.2,9.5,307.0,276.3,0.9901,0.9583,314,328
base,3400,t90_w,400,0,229.7,0.068,229.7,0.0,0.0,0.0,1.0000,1.0000,78,78
base,3400,t90_w,400,1,229.7,0.068,229.7,0.0,0.0,0.0,1.0000,1.0000,78,78
base,3400,t90_w,400,2,229.7,0.068,229.7,0.0,0.0,0.0,1.0000,1.0000,78,78
base,3400,t90_w,800,0,459.3,0.135,442.2,17.1,0.0,0.0,0.9627,0.9627,150,156
base,3400,t90_w,800,1,459.3,0.135,442.2,0.0,17.1,15.4,1.0000,0.9963,156,156
base,3400,t90_w,800,2,459.3,0.135,442.2,0.0,17.1,15.4,1.0000,0.9963,156,156
base,3400,t90_w,1200,0,689.0,0.203,600.3,88.7,0.0,0.0,0.8712,0.8712,204,234
base,3400,t90_w,1200,1,689.0,0.203,600.3,3.6,85.2,76.6,0.9948,0.9824,230,234
base,3400,t90_w,1200,2,689.0,0.203,600.3,0.0,88.7,79.9,1.0000,0.9871,231,234
base,3400,t90_w,1600,0,918.7,0.270,723.9,194.8,0.0,0.0,0.7880,0.7880,246,312
base,3400,t90_w,1600,1,918.7,0.270,723.9,35.9,158.9,143.0,0.9609,0.9436,295,312
base,3400,t90_w,1600,2,918.7,0.270,723.9,3.4,191.4,172.2,0.9963,0.9755,305,312
base,4200,t90_s,400,0,336.5,0.080,336.5,0.0,0.0,0.0,1.0000,1.0000,114,114
base,4200,t90_s,400,1,336.5,0.080,336.5,0.0,0.0,0.0,1.0000,1.0000,114,114
base,4200,t90_s,400,2,336.5,0.080,336.5,0.0,0.0,0.0,1.0000,1.0000,114,114
base,4200,t90_s,800,0,673.0,0.160,619.9,53.1,0.0,0.0,0.9211,0.9211,211,229
base,4200,t90_s,800,1,673.0,0.160,619.9,4.0,49.1,44.2,0.9941,0.9868,226,229
base,4200,t90_s,800,2,673.0,0.160,619.9,0.0,53.1,47.8,1.0000,0.9921,227,229
base,4200,t90_s,1200,0,1009.5,0.240,794.9,214.7,0.0,0.0,0.7874,0.7874,270,343
base,4200,t90_s,1200,1,1009.5,0.240,794.9,85.4,129.3,116.3,0.9154,0.9026,310,343
base,4200,t90_s,1200,2,1009.5,0.240,794.9,22.5,192.1,172.9,0.9777,0.9586,329,343
base,4200,t90_s,1600,0,1346.0,0.320,922.8,423.3,0.0,0.0,0.6855,0.6855,314,458
base,4200,t90_s,1600,1,1346.0,0.320,922.8,246.3,177.0,159.3,0.8170,0.8039,368,458
base,4200,t90_s,1600,2,1346.0,0.320,922.8,135.0,288.3,259.5,0.8997,0.8783,402,458
base,4200,t35_s,400,0,518.1,0.123,518.0,0.1,0.0,0.0,0.9998,0.9998,176,176
base,4200,t35_s,400,1,518.1,0.123,518.0,0.0,0.1,0.1,1.0000,1.0000,176,176
base,4200,t35_s,400,2,518.1,0.123,518.0,0.0,0.1,0.1,1.0000,1.0000,176,176
base,4200,t35_s,800,0,1036.2,0.247,913.5,122.7,0.0,0.0,0.8816,0.8816,311,352
base,4200,t35_s,800,1,1036.2,0.247,913.5,7.2,115.5,104.0,0.9930,0.9819,346,352
base,4200,t35_s,800,2,1036.2,0.247,913.5,0.0,122.7,110.4,1.0000,0.9882,348,352
base,4200,t35_s,1200,0,1554.3,0.370,1120.5,433.8,0.0,0.0,0.7209,0.7209,381,528
base,4200,t35_s,1200,1,1554.3,0.370,1120.5,199.3,234.5,211.1,0.8718,0.8567,453,528
base,4200,t35_s,1200,2,1554.3,0.370,1120.5,61.5,372.3,335.0,0.9604,0.9365,495,528
base,4200,t35_s,1600,0,2072.4,0.493,1250.4,822.0,0.0,0.0,0.6033,0.6033,425,705
base,4200,t35_s,1600,1,2072.4,0.493,1250.4,530.5,291.5,262.4,0.7440,0.7299,514,705
base,4200,t35_s,1600,2,2072.4,0.493,1250.4,312.6,509.4,458.5,0.8492,0.8246,581,705
base,4200,t60_s,400,0,466.5,0.111,466.5,0.0,0.0,0.0,0.9999,0.9999,159,159
base,4200,t60_s,400,1,466.5,0.111,466.5,0.0,0.0,0.0,1.0000,1.0000,159,159
base,4200,t60_s,400,2,466.5,0.111,466.5,0.0,0.0,0.0,1.0000,1.0000,159,159
base,4200,t60_s,800,0,933.0,0.222,821.4,111.6,0.0,0.0,0.8804,0.8804,279,317
base,4200,t60_s,800,1,933.0,0.222,821.4,9.0,102.6,92.3,0.9903,0.9793,311,317
base,4200,t60_s,800,2,933.0,0.222,821.4,0.0,111.6,100.5,1.0000,0.9880,313,317
base,4200,t60_s,1200,0,1399.5,0.333,1017.9,381.5,0.0,0.0,0.7274,0.7274,346,476
base,4200,t60_s,1200,1,1399.5,0.333,1017.9,176.0,205.5,184.9,0.8742,0.8595,409,476
base,4200,t60_s,1200,2,1399.5,0.333,1017.9,61.4,320.1,288.1,0.9561,0.9332,444,476
base,4200,t60_s,1600,0,1866.0,0.444,1144.0,722.0,0.0,0.0,0.6131,0.6131,389,634
base,4200,t60_s,1600,1,1866.0,0.444,1144.0,454.6,267.4,240.6,0.7564,0.7420,471,634
base,4200,t60_s,1600,2,1866.0,0.444,1144.0,268.1,453.9,408.5,0.8563,0.8320,528,634
base,4200,t90_sw,400,0,313.0,0.075,312.9,0.0,0.0,0.0,1.0000,1.0000,106,106
base,4200,t90_sw,400,1,313.0,0.075,312.9,0.0,0.0,0.0,1.0000,1.0000,106,106
base,4200,t90_sw,400,2,313.0,0.075,312.9,0.0,0.0,0.0,1.0000,1.0000,106,106
base,4200,t90_sw,800,0,625.9,0.149,588.7,37.2,0.0,0.0,0.9406,0.9406,200,213
base,4200,t90_sw,800,1,625.9,0.149,588.7,0.5,36.6,33.0,0.9992,0.9933,211,213
base,4200,t90_sw,800,2,625.9,0.149,588.7,0.0,37.2,33.4,1.0000,0.9941,212,213
base,4200,t90_sw,1200,0,938.9,0.224,774.1,164.8,0.0,0.0,0.8245,0.8245,263,319
base,4200,t90_sw,1200,1,938.9,0.224,774.1,36.7,128.1,115.3,0.9610,0.9473,302,319
base,4200,t90_sw,1200,2,938.9,0.224,774.1,5.2,159.6,143.7,0.9945,0.9775,312,319
base,4200,t90_sw,1600,0,1251.8,0.298,914.7,337.1,0.0,0.0,0.7307,0.7307,311,426
base,4200,t90_sw,1600,1,1251.8,0.298,914.7,157.3,179.9,161.9,0.8744,0.8600,366,426
base,4200,t90_sw,1600,2,1251.8,0.298,914.7,53.7,283.4,255.1,0.9571,0.9344,398,426
base,4200,t90_e,400,0,240.9,0.057,240.9,0.0,0.0,0.0,1.0000,1.0000,82,82
base,4200,t90_e,400,1,240.9,0.057,240.9,0.0,0.0,0.0,1.0000,1.0000,82,82
base,4200,t90_e,400,2,240.9,0.057,240.9,0.0,0.0,0.0,1.0000,1.0000,82,82
base,4200,t90_e,800,0,481.8,0.115,468.1,13.8,0.0,0.0,0.9714,0.9714,159,164
base,4200,t90_e,800,1,481.8,0.115,468.1,0.0,13.8,12.4,1.0000,0.9971,163,164
